Time,Force_X_post,Force_Y_post,Force_Z_post
826.183,33.03057096061441,15.872070042117075,-1013.6771329431264
826.283,32.3871796391673,15.82539472662003,-986.0498184122943
826.383,31.457563991810126,15.841038351007047,-962.4640432040853
826.483,31.342859879962468,15.871948874365748,-950.1283372242212
826.583,31.770858103908758,15.891157433428624,-947.5515190004965
826.683,32.07807418599382,15.890611184519528,-949.4915994947411
826.783,31.9765766269374,15.874684105723551,-952.2912545531573
826.883,31.725555245952098,15.895060949331073,-955.4116579218523
826.983,31.74969544087815,15.985008045119516,-959.6035795545394
827.083,31.862691762858663,16.05922892618059,-964.0761857047313
827.183,31.632147947535362,16.021121600724324,-967.4092846010324
827.283,31.269095730840192,15.975881534532439,-970.1746348043426
827.383,31.231840554308487,16.08101429519442,-973.8003074827317
827.483,31.40834680960499,16.265730392557913,-977.8846555890556
827.583,31.457513355510887,16.393281749999986,-980.9125560021157
827.683,31.352378714864795,16.4594192813672,-982.3498228571877
827.783,31.21243553117091,16.496938420239086,-982.7054367803582
827.883,31.10033786772402,16.51291872664303,-982.6415531299818
827.983,31.03154103448596,16.5093813702419,-982.5616830875651
828.083,30.998197609867702,16.48819528517038,-982.5942850384163
828.183,30.987180867287098,16.451965171387407,-982.7150807872495
828.283,30.98804884675905,16.40398070430319,-982.8593673386367
828.383,30.994201740988792,16.347959411146412,-982.9793397725037
828.483,31.001398476271508,16.287737169997865,-983.0565898570986
828.583,31.00626205399093,16.226951754139236,-983.0935673735723
828.683,31.0056572692314,16.168756082227212,-983.1014754091018
828.783,30.9967423231113,16.11559653027903,-983.0922164776987
828.883,30.97727775950666,16.06908003408784,-983.0751865700032
828.983,30.945920756637342,16.029936340124035,-983.0569212484827
829.083,30.90236295335644,15.998068000539606,-983.0416683546263
829.183,30.847245525279202,15.972671891509071,-983.0319418217389
829.283,30.781952033856502,15.95241067368335,-983.0287614420782
829.383,30.708389830630612,15.935611269334577,-983.0316738448013
829.483,30.628751635805,15.920472040425018,-983.0390728173471
829.583,30.545266173918023,15.905259755817664,-983.0488188428579
829.683,30.459956564281747,15.88847084469639,-983.0583008309967
829.783,30.37444999898896,15.86894468006682,-983.0641485186916
829.883,30.28990356752262,15.845934423333475,-983.0626303360569
829.983,30.001821226499864,15.864222667996218,-982.9572744456715
830.083,29.259079222512177,15.977884808310844,-983.6877846479016
830.183,28.65779253057861,16.062662214416264,-988.6092929835041
830.283,29.018969335374887,15.950061461083006,-999.4905164971191
830.383,29.85568444868813,15.719841946808305,-1012.039251184639
830.483,30.263716718645142,15.518986016976285,-1020.550655603276
830.583,30.217956729516327,15.359207119443612,-1023.7746691818894
830.683,30.060262618403137,15.217522525207025,-1023.706467291296
830.783,29.95953800296279,15.150615990381015,-1022.4918627399267
830.883,29.949286021986158,15.233519440047054,-1021.3537184910086
830.983,30.003139387058457,15.31301120427399,-1020.7583525150108
831.083,30.090392027636195,15.170137694062872,-1020.7434018203593
831.183,30.195750920208603,14.87196131279169,-1021.0684966416295
831.283,30.310799396486654,14.570528883817834,-1021.4538418901947
831.383,30.42710263046847,14.30863483606812,-1021.7411130958627
831.483,30.538475390684642,14.138242940232795,-1021.8689286901855
831.583,30.640953366965096,14.098441270073318,-1021.8577837022862
831.683,30.730686793402807,14.068453106201257,-1021.8287807362424
831.783,30.80525314262818,13.900410582266966,-1021.9097300107314
831.883,30.905815497459304,13.667891158196682,-1021.9735446421255
831.983,31.073183601922914,13.506121526435352,-1021.3094843703452
832.083,31.256360533840752,13.414353320563713,-1019.057715646731
832.183,31.419251373318364,13.352790023385372,-1015.3174227840875
832.283,31.473094069082407,13.308883331083656,-1010.7215271685789
832.383,31.263526591168176,13.277655785778345,-1005.6776523159216
832.483,30.93908492006979,13.25473355564119,-1001.2106402278956
832.583,30.775334494847776,13.236394500284563,-998.5992248097647
832.683,30.765994437135916,13.20838483674333,-997.9503755133112
832.783,30.783676071421596,13.115875391082291,-998.4559410208741
832.883,30.769248190821948,12.945991520839538,-999.3142909801531
832.983,30.711228802462212,12.854694556497384,-1000.0159099480582
833.083,30.617059469543022,12.966043182265265,-1000.3905478756967
833.183,30.701115565625805,13.012254121906325,-1000.7006018293507
833.283,31.21905257985873,12.655290338026907,-1000.2273270817747
833.383,31.57408066069072,12.282311672775629,-995.5011855874966
833.483,30.945769383732515,12.541248318060072,-984.5112800962065
833.583,29.817194732165348,13.257009618921458,-971.673485860161
833.683,29.0764909478402,13.899033209986136,-963.0082907220298
833.783,28.74279880688214,14.355631302124582,-959.8769340683468
833.883,28.499197824691066,14.708933717616997,-960.2349856520282
833.983,28.218585940191474,14.995464467316149,-961.8414760387757
834.083,27.90474871486405,15.222326558551458,-963.3846898559458
834.183,27.608909450466264,15.382083275902339,-964.435309491903
834.283,27.377114544658063,15.469954988592407,-965.031220638796
834.383,27.23133044721813,15.487822482912659,-965.3317033941789
834.483,27.085561656082252,15.431661333702012,-965.3722491804116
834.583,26.708006835520635,15.311854806056855,-965.4999280002436
834.683,26.14097134301736,15.19453396294205,-968.0103454174672
834.783,25.963281025964108,15.112453953695587,-976.511573893084
834.883,26.49998355995254,15.016453629552805,-990.8908968511583
834.983,27.233126399426542,14.90679127076941,-1005.4619066865969
835.083,27.53957415536802,14.836059797936596,-1014.6205584735753
835.183,27.39523896000291,14.813009935093294,-1017.5799651042859
835.283,27.102246630918305,14.82236396128734,-1016.8742546718089
835.383,26.855642042976783,14.85726622388126,-1015.1170229854828
835.483,26.687871728355834,14.913436528454772,-1013.6936943120578
835.583,26.564359154718368,14.986220873330922,-1012.9346173346727
835.683,26.24082322648043,15.110126830419844,-1016.108129346916
835.783,26.129523131106957,15.18938598693311,-1015.945798385775
835.892,26.44716261644398,15.184591137925011,-1008.4724281206736
835.992,26.280900355575785,15.273868098924199,-1008.8675614765303
836.092,25.92773266685976,15.39028449609391,-1012.5208267303069
836.192,25.825155224362714,15.441648298312561,-1012.4283965847922
836.292,25.743224696157487,15.47824826162663,-1012.3204292864348
836.392,25.680451113420848,15.501553004449052,-1012.1990739586416
836.492,25.63415968175818,15.513842597930001,-1012.0607293060237
836.592,25.600598834735184,15.518199807757433,-1011.9022375267735
836.692,25.366655152636223,15.484840665843203,-1011.9999550599122
836.792,24.652228153703216,15.377683276061008,-1014.6024178237966
836.892,24.05344013209771,15.336913914025011,-1024.352307377488
836.992,24.481840245348394,15.564837442863212,-1042.2591826489454
837.092,25.45095844208074,15.915004476940371,-1061.3815895034634
837.192,26.132943841567,16.11299107179757,-1074.1281005204223
837.292,26.907808560483566,16.235737988748653,-1078.6631480212106
837.392,27.74894845397962,16.39190295821118,-1074.100047737235
837.492,27.570634630106277,16.39831928987697,-1058.102603746343
837.592,26.359240484374265,16.16768838679644,-1033.2600106845325
837.692,25.305259549602866,15.869013328427002,-1008.3243893562167
837.792,25.033182977646394,15.619584159707479,-990.9696424184675
837.892,25.371125582811782,15.408695691527953,-983.0464638315635
837.992,26.074229046064538,15.252236664840044,-981.4128002866354
838.092,26.976576006826406,15.19124608326281,-980.1840930254795
838.192,27.58789214343042,15.146798597689878,-974.0037796521116
838.292,27.50541472136246,15.003936729048782,-962.8587514573319
838.392,27.185967394472726,14.816194711781264,-952.1325125851129
838.492,27.184708040324097,14.690681298456411,-946.0983342381267
838.592,27.257144207897234,14.668495879770438,-944.40292424418
838.692,26.954119282156288,14.78026804317958,-945.3602139812444
838.792,26.602690219323048,14.93809845933225,-949.5380878664218
838.892,26.80318592203302,14.958284416226187,-957.578234603449
838.992,27.282596660940193,14.840302593180475,-966.5604708022306
839.092,27.464255839223753,14.731025093699676,-972.6076872101647
839.192,27.22583905392121,14.661351429142742,-974.9332620054844
839.292,26.453910865379402,14.540560212850385,-975.8825725421357
839.392,25.380232355635066,14.35549658027759,-980.308465902156
839.492,24.98855025591786,14.238991647429991,-992.825565974767
839.592,25.593360055358822,14.29204377577593,-1012.0072790494581
839.692,26.315201696925026,14.494952806520386,-1030.843503289857
839.792,26.82384583313579,14.748615557497278,-1043.929538923845
839.892,27.511562557205576,14.909156754178495,-1048.9473928911566
839.992,27.756612824853917,15.006091310657007,-1043.284052678192
840.092,26.703071038806886,15.217406274985107,-1027.5329833101405
840.192,24.88961489746886,15.628566904171029,-1008.7987722468446
840.292,24.123432106855848,15.860800588677657,-997.177023075292
840.4,24.656459401091425,15.821885861343173,-994.4839355542102
840.5,24.670094729207275,16.045807679219518,-994.54090976189
840.6,24.309997028842727,16.390096266434437,-995.1327373099889
840.7,24.157964391167866,16.6353857119413,-996.2759337614498
840.8,23.960221564493988,16.875753377935293,-996.7277456220386
840.9,23.777246574133624,17.049564823948167,-996.7439787399534
841.0,23.642365283660883,17.157282902650195,-996.6042045643262
841.1,23.56421845599278,17.22002852665915,-996.4495105846754
841.2,23.62345216624005,17.258188782829947,-996.3852518196367
841.3,23.922517893552644,17.318138594574762,-996.186587455822
841.4,24.221356555219934,17.421136487311617,-994.6747567496852
841.5,24.178988924018487,17.50037762232258,-990.976307692026
841.6,23.983563988411976,17.461514453066904,-986.41098274271
841.7,24.002015412126987,17.263008356471037,-983.1181867434186
841.8,24.243378259521794,16.948680561712234,-981.6941527646609
841.9,24.556379199652184,16.62508528312594,-981.3844025697157
842.0,24.85146487163882,16.356240707409597,-981.3296762387212
842.1,25.09194244191159,16.156196052099965,-981.0774713599039
842.2,25.26842044220341,16.039658909036607,-980.54068076612
842.3,25.377964188480718,15.944213057408714,-979.8498210323497
842.4,25.4145098453361,15.776981201428773,-979.1668026315639
842.5,25.371815218432875,15.662138071950508,-978.4913601908547
842.6,25.24829205996894,15.810297782071949,-977.7407658893937
842.7,24.964925295496485,16.186097674824705,-976.8814720042616
842.8,24.285157425595333,16.684570722693834,-976.1387598324919
842.9,23.296222645403734,17.223131838274927,-977.3773700388482
843.0,22.80325744094915,17.549885546455755,-983.954111789612
843.1,23.12456481124098,17.52983860811301,-995.9935469371742
843.2,23.425581115909335,17.344656206706894,-1009.1190445289448
843.3,23.42192212479202,17.152090512776148,-1020.5025422906637
843.4,23.712188730912168,16.959593358518475,-1030.3336300825517
843.5,24.323753570651174,16.786556311495893,-1037.716000988061
843.6,24.985827622409143,16.67136380947417,-1040.7022169520044
843.7,25.62998411441986,16.54427267265849,-1037.758938884381
843.8,25.882418313212742,16.293955865995958,-1028.2505936450223
843.9,25.60121992979263,16.022445163163017,-1014.9404012532003
844.0,25.368078443281174,15.934033566939755,-1003.4782602071041
844.1,25.58590352627191,15.919061773111883,-997.3255517360369
844.2,26.05269546877209,15.699685423601762,-995.767405775732
844.3,26.493027194788127,15.321674386226784,-996.3655898690766
844.4,26.81488585457485,15.00383403983691,-997.2308658943275
844.5,27.019378906817863,14.710371208393745,-997.6277682211
844.6,27.124188369213414,14.314835471727635,-997.5625606771482
844.7,27.047712979279595,14.01856584383901,-997.0432149957862
844.8,26.67124871347484,14.11898626325996,-996.2917574485084
844.9,26.223776829132007,14.541852962846658,-996.6546188425773
845.0,26.059898452847598,15.023547422589763,-999.3418679899787
845.1,26.026589889632632,15.423553143390288,-1003.2983035877129
845.2,25.791181598511795,15.759794766114911,-1006.4042142810459
845.3,25.368767251003614,16.117639645163468,-1007.851524987145
845.4,24.929441928818363,16.482433289639904,-1008.164502370649
845.5,24.576193024328507,16.767354514697786,-1008.1048071808113
845.6,24.349354661379706,16.941617924022506,-1008.1036009118482
